DATE (MM/DD/YYYY),HOUR-MST,Avg Temperature @ 2m [deg C]
1/21/2008,4,-13.0840
1/21/2008,5,-13.3254
1/21/2008,6,-13.8891
1/21/2008,7,-14.3853
1/21/2008,8,-14.6267
1/21/2008,9,-14.8118
1/21/2008,10,-14.5933
1/21/2008,11,-14.4786
1/21/2008,12,-14.3393
1/21/2008,13,-14.3485
1/21/2008,14,-14.2594
1/21/2008,15,-14.5389
1/21/2008,16,-14.8402
1/21/2008,17,-15.5811
1/21/2008,18,-16.2405
1/21/2008,19,-16.3603
1/21/2008,20,-16.6887
1/21/2008,21,-17.3690
1/21/2008,22,-18.0712
1/21/2008,23,-18.4344
1/22/2008,0,-18.9471
1/22/2008,1,-19.1273
1/22/2008,2,-19.3197
1/22/2008,3,-19.4405
1/22/2008,4,-20.1588
1/22/2008,5,-19.9194
1/22/2008,6,-18.0057
1/22/2008,7,-13.1273
1/22/2008,8,-7.9935
1/22/2008,9,-6.9864
1/22/2008,10,-12.8845
1/22/2008,11,-4.9737
1/22/2008,12,0.4812
1/22/2008,13,1.3490
1/22/2008,14,1.7730
1/22/2008,15,1.9682
1/22/2008,16,1.7162
1/22/2008,17,0.9237
1/22/2008,18,0.3618
1/22/2008,19,-0.2562
1/22/2008,20,-0.1348
1/22/2008,21,0.0722
1/22/2008,22,-0.2061
1/22/2008,23,0.0907
1/23/2008,0,0.1179
1/23/2008,1,0.1445
1/23/2008,2,0.0332
1/23/2008,3,-0.5418
1/23/2008,4,-1.1310
1/23/2008,5,-0.9834
1/23/2008,6,-1.5575
1/23/2008,7,-1.4962
1/23/2008,8,-1.8095
1/23/2008,9,-1.9726
1/23/2008,10,-0.6719
1/23/2008,11,-4.0201
1/23/2008,12,-4.7024
1/23/2008,13,-4.2534
1/23/2008,14,-3.6762
1/23/2008,15,-3.6531
1/23/2008,16,-3.4413
1/23/2008,17,-5.2772
1/23/2008,18,-6.7841
1/23/2008,19,-7.8024
1/23/2008,20,-8.8305
1/23/2008,21,-10.0804
1/23/2008,22,-10.6926
1/23/2008,23,-10.1271
1/24/2008,0,-9.4144
1/24/2008,1,-10.2354
1/24/2008,2,-10.2754
1/24/2008,3,-9.9828
1/24/2008,4,-8.3999
1/24/2008,5,-9.4325
1/24/2008,6,-10.8024
1/24/2008,7,-9.2012
1/24/2008,8,-7.4188
1/24/2008,9,-4.3848
1/24/2008,10,-2.4202
1/24/2008,11,-1.9696
1/24/2008,12,-0.2553
1/24/2008,13,1.5813
1/24/2008,14,2.0296
1/24/2008,15,2.1880
1/24/2008,16,1.8131
1/24/2008,17,-1.1919
1/24/2008,18,-3.1608
1/24/2008,19,-4.1468
1/24/2008,20,-4.0729
1/24/2008,21,-3.0607
1/24/2008,22,-2.2298
1/24/2008,23,-3.5445
1/25/2008,0,-3.4591
1/25/2008,1,-0.9491
1/25/2008,2,2.4572
1/25/2008,3,2.0416
1/25/2008,4,0.1620
1/25/2008,5,0.6954
1/25/2008,6,1.8368
1/25/2008,7,1.9106
1/25/2008,8,1.4921
1/25/2008,9,1.5660
1/25/2008,10,2.0092
1/25/2008,11,2.9860
1/25/2008,12,4.5354
1/25/2008,13,4.2247
1/25/2008,14,3.6052
1/25/2008,15,3.9092
1/25/2008,16,3.5578
1/25/2008,17,2.9170
1/25/2008,18,2.6099
1/25/2008,19,2.9075
1/25/2008,20,3.0477
1/25/2008,21,3.1708
1/25/2008,22,3.3786
1/25/2008,23,3.4428
1/26/2008,0,3.2496
1/26/2008,1,2.8161
1/26/2008,2,2.0686
1/26/2008,3,2.0135
1/26/2008,4,2.2163
1/26/2008,5,2.6141
1/26/2008,6,2.8570
1/26/2008,7,2.9526
1/26/2008,8,2.9150
1/26/2008,9,3.8525
1/26/2008,10,5.5817
1/26/2008,11,6.6398
1/26/2008,12,7.6698
1/26/2008,13,9.6879
1/26/2008,14,10.4040
1/26/2008,15,10.1862
1/26/2008,16,10.2265
1/26/2008,17,8.8539
1/26/2008,18,7.1607
1/26/2008,19,5.1409
1/26/2008,20,5.9522
1/26/2008,21,4.4281
1/26/2008,22,5.3958
1/26/2008,23,4.6455
1/27/2008,0,3.9874
1/27/2008,1,4.2773
1/27/2008,2,4.9513
1/27/2008,3,5.4764
1/27/2008,4,5.4700
1/27/2008,5,5.3494
1/27/2008,6,4.1688
1/27/2008,7,3.3664
1/27/2008,8,4.0380
1/27/2008,9,6.0748
1/27/2008,10,8.4363
1/27/2008,11,12.4016
1/27/2008,12,14.2647
1/27/2008,13,14.5853
1/27/2008,14,14.6888
1/27/2008,15,14.9062
1/27/2008,16,14.4710
1/27/2008,17,10.6430
1/27/2008,18,8.9509
1/27/2008,19,9.1344
1/27/2008,20,8.0479
1/27/2008,21,6.8900
1/27/2008,22,6.6276
1/27/2008,23,7.0100
1/28/2008,0,6.2594
1/28/2008,1,6.9806
1/28/2008,2,6.6668
1/28/2008,3,6.0791
1/28/2008,4,8.1490
1/28/2008,5,8.8514
1/28/2008,6,8.1378
1/28/2008,7,6.2714
1/28/2008,8,4.4422
1/28/2008,9,7.6562
1/28/2008,10,8.4951
1/28/2008,11,7.2118
1/28/2008,12,6.5670
1/28/2008,13,8.5581
1/28/2008,14,9.1302
1/28/2008,15,8.0611
1/28/2008,16,7.0442
1/28/2008,17,5.3025
1/28/2008,18,3.8487
1/28/2008,19,3.8062
1/28/2008,20,2.4964
1/28/2008,21,-0.6314
1/28/2008,22,-2.2272
1/28/2008,23,-3.3988
1/29/2008,0,-4.5341
1/29/2008,1,-6.6945
1/29/2008,2,-7.7575
1/29/2008,3,-7.8330
1/29/2008,4,-7.9821
1/29/2008,5,-8.0515
1/29/2008,6,-8.2459
1/29/2008,7,-8.4358
1/29/2008,8,-8.5565
1/29/2008,9,-8.0347
1/29/2008,10,-7.4525
1/29/2008,11,-6.4131
1/29/2008,12,-5.3050
1/29/2008,13,-4.6119
1/29/2008,14,-3.3581
1/29/2008,15,-2.4390
1/29/2008,16,-1.2689
1/29/2008,17,-0.7587
1/29/2008,18,-2.6358
1/29/2008,19,-2.7000
1/29/2008,20,-2.9213
1/29/2008,21,-3.5758
1/29/2008,22,-4.5478
1/29/2008,23,-4.4621
1/30/2008,0,-4.3126
1/30/2008,1,-1.3006
1/30/2008,2,-1.6943
1/30/2008,3,-2.2136
1/30/2008,4,-2.3361
1/30/2008,5,-2.6683
1/30/2008,6,-2.9408
1/30/2008,7,-2.8284
1/30/2008,8,-2.3351
1/30/2008,9,-1.7640
1/30/2008,10,-0.8706
1/30/2008,11,-0.0136
1/30/2008,12,0.4533
1/30/2008,13,0.8205
1/30/2008,14,0.3155
1/30/2008,15,-1.8135
1/30/2008,16,-2.4533
1/30/2008,17,-4.3766
1/30/2008,18,-6.0452
1/30/2008,19,-7.0285
1/30/2008,20,-5.8451
1/30/2008,21,-7.0728
1/30/2008,22,-7.7449
1/30/2008,23,-7.0014
1/31/2008,0,-7.5734
1/31/2008,1,-7.8621
1/31/2008,2,-7.9170
1/31/2008,3,-7.9372
1/31/2008,4,-8.3550
1/31/2008,5,-8.2830
1/31/2008,6,-7.8968
1/31/2008,7,-7.7358
1/31/2008,8,-7.7045
1/31/2008,9,-6.7248
1/31/2008,10,-5.3603
1/31/2008,11,-4.9010
1/31/2008,12,-2.7504
1/31/2008,13,-0.6835
1/31/2008,14,-0.2812
1/31/2008,15,0.4549
1/31/2008,16,1.6719
1/31/2008,17,1.6379
1/31/2008,18,0.3275
1/31/2008,19,-1.1007
1/31/2008,20,-0.6000
1/31/2008,21,-1.3383
1/31/2008,22,-0.6600
1/31/2008,23,4.6214
2/1/2008,0,5.8960
2/1/2008,1,6.1811
2/1/2008,2,6.1012
2/1/2008,3,6.3492
2/1/2008,4,5.9869
2/1/2008,5,4.1420
2/1/2008,6,1.1451
2/1/2008,7,2.2591
2/1/2008,8,1.6902
2/1/2008,9,3.1062
2/1/2008,10,3.9038
2/1/2008,11,4.2816
2/1/2008,12,4.7850
2/1/2008,13,4.7921
2/1/2008,14,4.8032
2/1/2008,15,4.4540
2/1/2008,16,3.8152
2/1/2008,17,2.0991
2/1/2008,18,0.3685
2/1/2008,19,0.0041
2/1/2008,20,-0.8616
2/1/2008,21,-1.7176
2/1/2008,22,-2.3430
2/1/2008,23,-3.4413
2/2/2008,0,-3.9820
2/2/2008,1,-4.0313
2/2/2008,2,-4.7720
2/2/2008,3,-5.9792
2/2/2008,4,-5.1111
2/2/2008,5,-7.1841
2/2/2008,6,-8.1127
2/2/2008,7,-8.2502
2/2/2008,8,-7.8456
2/2/2008,9,-6.5906
2/2/2008,10,-4.9442
2/2/2008,11,-3.4498
2/2/2008,12,-2.2353
2/2/2008,13,-1.6440
2/2/2008,14,-1.5703
2/2/2008,15,-1.7614
2/2/2008,16,-1.6281
2/2/2008,17,-2.0961
2/2/2008,18,-3.4108
2/2/2008,19,-3.0930
2/2/2008,20,-3.3228
2/2/2008,21,-5.3219
2/2/2008,22,-4.3843
2/2/2008,23,-6.1829
2/3/2008,0,-4.9539
2/3/2008,1,-5.5176
2/3/2008,2,-6.7542
2/3/2008,3,-4.9769
2/3/2008,4,-5.8688
2/3/2008,5,-5.4129
2/3/2008,6,-4.6284
2/3/2008,7,-5.5251
2/3/2008,8,-5.8721
2/3/2008,9,-2.9940
2/3/2008,10,-3.3169
2/3/2008,11,-0.0639
2/3/2008,12,-0.3646
2/3/2008,13,0.1838
2/3/2008,14,-0.0694
2/3/2008,15,0.6041
2/3/2008,16,-0.5754
2/3/2008,17,-1.5135
2/3/2008,18,-2.2143
2/3/2008,19,-3.1815
2/3/2008,20,-3.7914
2/3/2008,21,-3.5256
2/3/2008,22,-1.9016
2/3/2008,23,-0.5671
2/4/2008,0,-1.4354
2/4/2008,1,-2.4192
2/4/2008,2,-2.8971
2/4/2008,3,-2.9661
2/4/2008,4,-3.0147
2/4/2008,5,-3.7127
2/4/2008,6,-2.1020
2/4/2008,7,-1.8888
2/4/2008,8,-1.7162
2/4/2008,9,-2.5916
2/4/2008,10,-3.2604
2/4/2008,11,-3.2968
2/4/2008,12,-3.4269
2/4/2008,13,-3.2695
2/4/2008,14,-3.6321
2/4/2008,15,-4.6943
2/4/2008,16,-5.1017
2/4/2008,17,-5.6488
2/4/2008,18,-6.0977
2/4/2008,19,-6.4235
2/4/2008,20,-6.8538
2/4/2008,21,-7.6644
2/4/2008,22,-8.5977
2/4/2008,23,-9.5008
2/5/2008,0,-10.0141
2/5/2008,1,-10.1210
2/5/2008,2,-10.1008
2/5/2008,3,-10.1879
2/5/2008,4,-10.1013
2/5/2008,5,-9.7734
2/5/2008,6,-9.7681
2/5/2008,7,-9.6548
2/5/2008,8,-9.7029
2/5/2008,9,-9.8369
2/5/2008,10,-8.7631
2/5/2008,11,-8.0988
2/5/2008,12,-6.7983
2/5/2008,13,-6.3435
2/5/2008,14,-6.3704
2/5/2008,15,-6.1125
2/5/2008,16,-6.0573
2/5/2008,17,-6.5662
2/5/2008,18,-8.6782
2/5/2008,19,-8.3936
2/5/2008,20,-7.6107
2/5/2008,21,-7.5910
2/5/2008,22,-9.3368
2/5/2008,23,-10.3593
2/6/2008,0,-9.7547
2/6/2008,1,-9.9953
2/6/2008,2,-8.2068
2/6/2008,3,-3.9815
2/6/2008,4,-2.8694
2/6/2008,5,-2.9034
2/6/2008,6,-1.9801
2/6/2008,7,-0.4198
2/6/2008,8,0.7898
2/6/2008,9,0.8503
2/6/2008,10,1.7932
2/6/2008,11,2.7267
2/6/2008,12,3.6125
2/6/2008,13,1.7525
2/6/2008,14,0.5336
2/6/2008,15,0.2067
2/6/2008,16,-0.1735
2/6/2008,17,-1.4003
2/6/2008,18,-2.4902
2/6/2008,19,-4.2970
2/6/2008,20,-5.2867
2/6/2008,21,-6.1635
2/6/2008,22,-6.6655
2/6/2008,23,-7.0366
2/7/2008,0,-7.1521
2/7/2008,1,-8.2598
2/7/2008,2,-7.6982
2/7/2008,3,-6.9204
2/7/2008,4,-6.6707
2/7/2008,5,-5.7296
2/7/2008,6,-5.0318
2/7/2008,7,-4.1860
2/7/2008,8,-3.5361
2/7/2008,9,-2.4516
2/7/2008,10,-0.5583
2/7/2008,11,0.7659
2/7/2008,12,0.2539
2/7/2008,13,2.9250
2/7/2008,14,5.1941
2/7/2008,15,6.9279
2/7/2008,16,4.2741
2/7/2008,17,2.9684
2/7/2008,18,2.0005
2/7/2008,19,0.4675
2/7/2008,20,0.5458
2/7/2008,21,-0.5333
2/7/2008,22,-0.8679
2/7/2008,23,0.2794
2/8/2008,0,-0.2606
2/8/2008,1,-0.3193
2/8/2008,2,-0.5682
2/8/2008,3,-0.8939
2/8/2008,4,-1.5356
2/8/2008,5,-2.5485
2/8/2008,6,-2.6824
2/8/2008,7,-2.4859
2/8/2008,8,-2.5672
2/8/2008,9,-2.2702
2/8/2008,10,-1.6976
2/8/2008,11,-1.3783
2/8/2008,12,-1.4146
2/8/2008,13,-1.5104
2/8/2008,14,-0.5353
2/8/2008,15,0.1634
2/8/2008,16,0.1483
2/8/2008,17,0.1022
2/8/2008,18,-0.3836
2/8/2008,19,-0.5305
2/8/2008,20,-0.4378
2/8/2008,21,-0.4019
2/8/2008,22,0.3434
2/8/2008,23,0.6635
2/9/2008,0,0.5586
2/9/2008,1,0.7083
2/9/2008,2,0.8056
2/9/2008,3,0.6806
2/9/2008,4,1.0613
2/9/2008,5,1.3986
2/9/2008,6,1.6280
2/9/2008,7,1.9532
2/9/2008,8,2.7234
2/9/2008,9,3.7409
2/9/2008,10,4.6514
2/9/2008,11,5.7195
2/9/2008,12,6.3700
